Date,Equity,DD
08/10/2008,11285,0
08/11/2008,10525,-760
08/12/2008,8525,-2760
08/13/2008,8690,-2595
08/14/2008,9115,-2170
08/15/2008,9280,-2005
08/17/2008,9775,-1510
08/18/2008,9195,-2090
08/19/2008,9140,-2145
08/20/2008,9510,-1775
08/21/2008,8155,-3130
08/22/2008,8490,-2795
08/24/2008,8635,-2650
08/25/2008,8780,-2505
08/26/2008,8780,-2505
08/27/2008,8470,-2815
08/28/2008,8470,-2815
08/29/2008,8470,-2815
08/31/2008,8185,-3100
09/01/2008,8015,-3270
09/02/2008,10115,-1170
09/03/2008,8815,-2470
09/04/2008,8875,-2410
09/05/2008,7930,-3355
09/07/2008,7930,-3355
09/08/2008,8700,-2585
09/09/2008,8245,-3040
09/10/2008,8695,-2590
09/11/2008,10515,-770
09/12/2008,10840,-445
09/14/2008,10840,-445
09/15/2008,11425,0
09/16/2008,10530,-895
09/17/2008,9545,-1880
09/18/2008,10625,-800
09/19/2008,11450,0
09/21/2008,11450,0
09/22/2008,11450,0
09/23/2008,12155,0
09/24/2008,12150,-5
09/25/2008,12455,0
09/26/2008,12130,-325
09/28/2008,12130,-325
09/29/2008,11385,-1070
09/30/2008,13400,0
10/01/2008,12665,-735
10/02/2008,15645,0
10/03/2008,17560,0
10/05/2008,17655,0
10/06/2008,14665,-2990
10/07/2008,13560,-4095
10/08/2008,11130,-6525
10/09/2008,11310,-6345
10/10/2008,11310,-6345
10/12/2008,11310,-6345
10/13/2008,16065,-1590
10/14/2008,16295,-1360
10/15/2008,16260,-1395
10/16/2008,20945,0
10/17/2008,23160,0
10/19/2008,24555,0
10/20/2008,26495,0
10/21/2008,27345,0
10/22/2008,28165,0
10/23/2008,28955,0
10/24/2008,28030,-925
10/26/2008,28030,-925
10/27/2008,28430,-525
10/28/2008,27970,-985
10/29/2008,27970,-985
10/30/2008,27825,-1130
10/31/2008,27560,-1395
11/02/2008,28085,-870
11/03/2008,28945,-10
11/04/2008,28020,-935
11/05/2008,28100,-855
11/06/2008,28795,-160
11/07/2008,28820,-135
11/09/2008,28705,-250
11/10/2008,28715,-240
11/11/2008,28590,-365
11/12/2008,29975,0
11/13/2008,29645,-330
11/14/2008,28290,-1685
11/16/2008,28225,-1750
11/17/2008,28780,-1195
11/18/2008,28780,-1195
11/19/2008,28965,-1010
11/20/2008,29425,-550
11/21/2008,29980,0
11/23/2008,29695,-285
11/24/2008,29550,-430
11/25/2008,29550,-430
11/26/2008,29550,-430
11/27/2008,29305,-675
11/28/2008,29320,-660
11/30/2008,29205,-775
12/01/2008,29315,-665
12/02/2008,27235,-2745
12/03/2008,27965,-2015
12/04/2008,26960,-3020
12/05/2008,28970,-1010
12/07/2008,29595,-385
12/08/2008,29795,-185
12/09/2008,30320,0
12/10/2008,27305,-3015
12/11/2008,27575,-2745
12/12/2008,26990,-3330
12/14/2008,26990,-3330
12/15/2008,26990,-3330
12/16/2008,26365,-3955
12/17/2008,25960,-4360
12/18/2008,26395,-3925
12/19/2008,26500,-3820
12/21/2008,26500,-3820
12/22/2008,25425,-4895
12/23/2008,25775,-4545
12/24/2008,25475,-4845
12/25/2008,25725,-4595
12/26/2008,25750,-4570
12/28/2008,25750,-4570
12/29/2008,25485,-4835
12/30/2008,25410,-4910
12/31/2008,25410,-4910
01/01/2009,23795,-6525
01/02/2009,24000,-6320
01/04/2009,24000,-6320
01/05/2009,25860,-4460
01/06/2009,25345,-4975
01/07/2009,26795,-3525
01/08/2009,25735,-4585
01/09/2009,26710,-3610
01/11/2009,26710,-3610
01/12/2009,27105,-3215
01/13/2009,26725,-3595
01/14/2009,27345,-2975
01/15/2009,27615,-2705
01/16/2009,26730,-3590
01/18/2009,26585,-3735
01/19/2009,26845,-3475
01/20/2009,27170,-3150
01/21/2009,27170,-3150
01/22/2009,27465,-2855
01/23/2009,27300,-3020
01/25/2009,27435,-2885
01/26/2009,27770,-2550
01/27/2009,27770,-2550
01/28/2009,27345,-2975
01/29/2009,27200,-3120
01/30/2009,26120,-4200
02/01/2009,25685,-4635
02/02/2009,24795,-5525
02/03/2009,24810,-5510
02/04/2009,24525,-5795
02/05/2009,25315,-5005
02/06/2009,24835,-5485
02/08/2009,24735,-5585
02/09/2009,23270,-7050
02/10/2009,22135,-8185
02/11/2009,20045,-10275
02/12/2009,19835,-10485
02/13/2009,19795,-10525
02/15/2009,19415,-10905
02/16/2009,21045,-9275
02/17/2009,22555,-7765
02/18/2009,23970,-6350
02/19/2009,23970,-6350
02/20/2009,23970,-6350
02/22/2009,23615,-6705
02/23/2009,22760,-7560
02/24/2009,22760,-7560
02/25/2009,21885,-8435
